,S. No.,Semester 7,Course  code,Credit  hours,Pre- requisite,Course type
0,1,Development Economics,ECO301,3,ECO104,Economics core
1,2,Economics elective I,ECO,3,-,Economics elective
2,3,Stochastic Processes,MTS304,3,MTS231,Mathematics core
3,4,Mathematics elective I,MTS,3,-,Mathematics elective
4,5,Interdisciplinary/Allied elective I **,-,3,-,Interdisciplinary/Allied
5,6,Capstone Project in Economics/  Capstone Project in Mathematics,ECO412/  MTS439,0,-,Provisional for starting  Capstone
