,Semester-2,Course code,Credit hours,Pre- requisite,Course type
0,Seminars in Finance,FIN577,3,-,Core
1,Financial Econometrics,FIN569,3,FIN555,Core
2,Ethics and professional standards in  Finance,FIN505,3,-,Core
3,Elective 1,-,3,-,Elective
