,,,Credit hours
0,Time for completion,2 years,-
1,Business Orientation Program  (BOP),4-6 weeks,-
2,Core courses,13,39**
3,Elective courses,15,15
4,MBA Project,1,6
5,Total,18+1 Project,60
6,Corporate internship (6 8 weeks)  -,1,
7,Personal effectiveness program**  (10 hours),1,
