,,Semester 2,Course  code,Credit  hours,Pre- requisite,Course category
0,1,Intro to Statistics,MTS102,3,-,General Education
1,2,Rhetorical Modes of Writing,SSC106,3,SSC101,Supporting Core
2,3,Intro to Psychology,SSC218,3,-,SSLA Core
3,4,South Asian History,SSC221,3,-,General Education
4,5,History of Ideas II,SSC238,3,SSC239,Supporting Core
