,,Semester 4,Course  code,Credit  hours,Pre-requisite,Course category
0,1,Entrepreneurship,,2,-,General  Education
1,2,Civic and Community  Engagement,,2,-,General  Education
2,3,Introduction to Media and Culture,216  SSC,3,-,SSLA Core
3,4,Introduction to Political Science,SC217  S,3,-,SSLA Core
4,5,Introduction to Urban  Studies/Introduction to Literary  Studies,SSC234/ SSC214,3,-,SSLA Core
5,6,Information and Communication  Technology,,3,-,General  Education
