,S. No.,Semester 6,Course  code,Credit  hours,Pre- requisite,Course type
0,1,Applied Econometrics II,ECO344,4,ECO343,Economics Core
1,2,Research Methods for Economics,ECO411,3,ECO343,Economics Core
2,3,International Trade,ECO466,3,ECO103,Economics Core
3,4,Partial Differential Equations,MTS436,3,MTS241,Mathematics Core
4,5,Data Analytics for Economics,ECO304,3,-,Interdisciplinary/ Allied
5,6,Personal Effectiveness,SSC240,-,-,Non-credit  mandatory
