,0,1
0,Independence Day,"August 14, 2024"
1,Eid Milad-un-Nabi*,"September 16, 2024"
2,Iqbal Day,"November 09, 2024"
3,Birth anniversary of Quaid-e-Azam/Christmas,"December 25, 2024"
