,Course title,Credit hours
0,Introduction to Historical Methods,03
1,Introduction to Psychology,03
2,Introduction to Social and Cultural  Anthropology,03
3,Introduction to Media and Culture,03
4,Introduction to Political Science,03
5,Introduction to Urban Studies/Introduction  to Literary Studies,03
