,Code,Title,Credit  hours,Pre-requisite,Category
0,CSE142,Object Oriented Programming  Techniques,4,CSE141,CS Core
1,HUM20,Speech Communication,3,-,General  Education
2,SCI102,Physics,3,-,Program  Core
3,MTS211,Discrete Mathematics,3,MTS101,Program  Core
4,MTS113,Calculus-II,3,MTS101,Program  Core
5,-,Arts and Humanities  2,,-  Education,General
