,Semester -1,Course code,Credit hours,Pre- requisite,Course type
0,CEJ Newsroom 1,JOU504,3,-,Core
1,Digital News Reporting,JOU502,3,JOU506,Core
2,Governance and Society in Pakistan,JOU503,3,-,Core
3,News Writing and Reporting,JOU501,3,JOU508,Core
4,The Profession of Journalism,JOU500,3,JOU507,Core
