,S. No.,Semester 5,Course  code,Credit  hours,Pre- requisite,Course type
0,1,Applied Econometrics I,ECO343,4,MTS202,Economics Core
1,2,Microeconomic Theory,ECO312,3,ECO201,Economics Core
2,3,Macroeconomic Theory,ECO313,3,ECO202,Economics Core
3,4,Introduction to Differential Equations,MTS241,3,MTS101,Mathematics Core
4,5,Real Analysis I,MTS341,3,MTS232,Mathematics Core
