,0,1
0,PhD(Foreign),91
1,PhD(Local),16
2,Masters (Foreign),25
3,Masters (Local),28
4,Total,160
5,PursuingHigher Education (Abroad),6
6,PursuingHigher Education (Local),5
7,Total,11
