,Course category,Courses,Credit hours
0,General Education Courses,12,30
1,Interdisciplinary Courses,4,12
2,Business Core Courses,14,42
3,Business Elective Courses,10,30
4,Free Electives,3,9
5,Total Required Coursework,43,123
6,Corporate Internship,,3
7,Experiential Learning Project,,6
8,Total Credit Hours,,132
