,S. No,Course,Course code
0,1,Computer Communication and  Networking,CSE 248
1,2,Web Based Application Development,CSE 308
2,3,Theory of Automata,CSE 309
3,4,Software Engineering,CSE 312
4,5,Operating Systems,CSE 331
5,6,Application Development for Mobile  Devices,CSE 450
6,7,Introduction to Cryptography,CSE 470
7,8,Introduction to Machine Learning,CSE 472
8,9,Cloud Computing,CSE 584
9,10,Any other program approved 3xx/4xx  level course in computer science,-
