,S. No.,Semester 7,Course code,Credit hours,Pre- requisite,Course type
0,1,Impact Evaluation Methods,ECO443,4,ECO343,Economics core
1,2,History of Economic Thought,ECO467,3,ECO104,Economics core
2,3,Development Economics,ECO301,3,ECO104,Economics core
3,4,Economics elective III,ECO,3,-,Economics elective
4,5,Economics elective IV,ECO,3,-,Non-specialization elective
5,6,Capstone Project in Economics,ECO412,0,-,Provisional for starting Capstone
