,Course category,Courses,Credit hours
0,University Core,4,12
1,Mathematics Core,17,51
2,Mathematics Elective,4,12
3,Restricted Elective,3,9
4,Science Core,6,21
5,University Breadth,4,10
6,Free Elective,3,9
7,Final Year Project,1,3
8,Internship,1,3
9,Entrepreneurship,1,2
10,Civic and community  engagement,1,2
11,Total,45,134
