,Programs,Enrollments,Male Students,Female Students
0,Bachelor of Business Administration,1120,641,479
1,BS Accounting and Finance,1054,709,345
2,BS Computer Science,639,455,184
3,BS Economics,480,269,211
4,BS Economics & Mathematics,203,112,91
5,BS Mathematics,52,28,24
6,BS Social Sciences & Liberal Arts,353,103,250
7,Total,3901,2317,1584
