,S. No.,Course title,Course  code,Credit  hours,Pre- requisite
0,1,Essential Software,MTS111,3,-
1,2,Data Analytics for Economists,ECO304,3,ECO304
2,3,Interdisciplinary/Allied Elective I,-,3,-
3,4,Interdisciplinary/Allied Elective II,-,3,-
