,S. No,Course,Course code
0,1,Introduction to Computer Vision,CSE454
1,2,Neural Networks and Deep Learning,CSE471
2,3,Introduction to Text Analytics,CSE473
3,4,Any other program approved 3xx/4xx  level course in computer science,-
