,S. No,Course,Course code
0,1,Web Based Application Development,CSE 308
1,2,Application Development for Mobile  Devices,CSE 450
2,3,Introduction to DevOps,CSE 474
3,4,Software Architecture,CSE 476
4,5,Software Project Management,CSE 503
5,6,Software Quality Assurance,CSE 566
6,7,Any other program approved 3xx/4xx  level course in computer science,-
