,S. No.,Semester 1,Course  code,Credit  hours,Pre- requisite,Course type
0,1,Principles of Microeconomics,ECO103,3,-,Economics Core
1,2,Calculus I,MTS101,3,-,Mathematics Core
2,3,Introduction to Computer Applications,MIS103,3,-,General Education
3,4,Introduction to Statistics,MTS102,3,-,General Education
4,5,Critical Reading and Speech  Communication,SSC108,3,-,General Education
