,,Semester 1,Course  code,Credit  hours,Pre- requisite,Course category
0,1,Calculus,MTS104,3,-,Interdisciplinary Core
1,2,Critical Reading and Writing,SSC101,3,-,General Education
2,3,Fundamentals of Sociology,SSC231,3,-,General Education
3,4,Introduction to Historical  Methods,SSC232,3,-,SSLA Core
4,5,History of Ideas I,SSC239,3,-,Supporting Core
5,6,College Algebra*,,Deficiency course for non-math students,Deficiency course for non-math students,Deficiency course for non-math students
