,Programs,Enrollments,Male Students,Female Students
0,MBA - Evening,239,188,51
1,MBA - Morning,97,58,39
2,Executive MBA,156,121,35
3,MS Computer Science,53,40,13
4,MS Development Studies,18,8,10
5,MS Data Science,79,50,29
6,MS Economics,22,17,5
7,MS Finance,12,8,4
8,MS Islamic Banking & Finance,39,31,8
9,MS Journalism,5,2,3
10,MS Management,21,7,14
11,MS Marketing,17,2,15
12,MS Mathematics,15,8,7
13,Total,773,540,233
