,Tracks,Course code,Course title
0,1,MIS552,Advanced   Data   Warehousing
1,2,CSE668,Big Data Analytics
2,3,CSE607,Bioinformatics Algorithms
3,4,CSE659,Computational Intelligence
4,5,CSE660,Computer Vision
5,6,CSE510,Data and Information Visualization
6,7,CSE679,Data Science Product Development
7,8,CSE669,Deep Learning
8,9,CSE559,Image Processing
9,10,CSE602,Machine Learning-I
10,11,CSE603,Machine Learning-II
11,12,CSE601,Mathematics for Data Science
12,13,CSE574,Natural Language Processing
13,14,CSE655,Probabilistic Reasoning
14,15,CSE661,Semantic Web
15,16,CSE670,Social Network Analysis
16,17,CSE674,Text Analytics
