,Course category,Courses,Credit  hours
0,General Education Courses,12,30
1,Accounting Core Courses,6,18
2,Finance Core Courses,5,15
3,Accounting Elective Courses,6,18
4,Finance Elective Courses,7,21
5,Allied Courses,4,12
6,Free Electives,3,9
7,Total Required Coursework,43,123
8,Experiential Learning Project,1,6
9,Corporate Internship,1,3
10,Total Credit Hours,-,132
