,S. No.,Semester 4,Course  code,Credit  hours,Pre- requisite,Course type
0,1,Intermediate Macroeconomics,ECO202,3,ECO103,Economics core
1,2,Mathematical Economics,ECO303,3,MTS101,Economics core
2,3,Essential Software,MTS111,3,-,Economics core
3,4,"Physics/Mechanics/Electric ity, Magnetism, Waves",SCI201/  PHYXXX/  PHY102,3,-,General Education
4,5,Non-specialization  Elective,-,-,-,NS Specialization
