,S. No.,Semester 3,Course  code,Credit  hours,Pre- requisite,Course type
0,1,Intermediate Microeconomics,ECO201,3,ECO103,Economics core
1,2,Linear Algebra,MTS203,3,MTS101,Interdisciplinary/Allied
2,3,Calculus II,MTS113,3,MTS101,Interdisciplinary/Allied
3,4,Introduction to Academic Writing,SSC236,3,-,General Education
4,5,Fundamentals of Entrepreneurship,MGT103,2,-,General Education
5,6,Civic and Community Engagement,SSC215,2,-,General Education
