,S. No.,Semester 1,Course  code,Credit  hours,Pre- requisite,Course type
0,1,Principles of Microeconomics,ECO103,3,-,Economics core
1,2,Introduction to Computer,MIS103,3,-,General Education
2,3,Introduction to Statistics,MTS102,3,-,General Education
3,4,Critical Reading and Speech  Communication,SSC108,3,-,General Education
4,5,Pakistan History,SSC153,2,-,General Education
5,6,College Algebra*,MTS105,Deficiency course for non-math students,Deficiency course for non-math students,Deficiency course for non-math students
