,0,1
0,Curriculum structure,
1,Duration,4 years
2,Semesters,8
3,Courses,42
4,Capstone Project,1
5,Internship,1
6,"Total credit hours (41 courses, 1 project and 1 internship)",129
7,Personal Effectiveness (non-credit short course),1
8,Responsible Citizen Initiative (non-credit social internship),1
