,Course title,Course  code,Credit  hours,Pre-  requisite
0,Macroeconomics Modelling and Public Policy  Analysis,ECO655,4,-
1,Topic in Environmental Economics,ECO649,4,-
2,Topics in International Trade,ECO653,4,-
3,Advanced Financial Economics,ECO643,4,-
4,Topics in Monetary Economics,ECO656,4,-
5,Institutions and Development,ECO659,4,-
6,Advanced International Trade,ECO660,4,-
