,S. No.,Semester 8,Course  code,Credit  hours,Pre- requisite,Course type
0,1,Optimization Techniques,MTS330,3,MTS101/  MTS203,Mathematics core
1,2,Mathematics elective II,MTS,3,-,Mathematic elective
2,3,Economics elective II,ECO,3,-,Economics elective
3,4,Interdisciplinary/Allied Elective II **,-,3,-,Interdisciplinary/Allied
4,5,Capstone Project in Economics/  Capstone Project in Mathematics***,ECO412/  MTS439,3,-,Capstone Project
