,Curriculum structure,Curriculum structure
0,Duration,04 years
1,Semesters,08
2,Courses,44
3,Capstone Project,01
4,Corporate/Research Internship,01
5,Personal Effectiveness,01
6,Responsible Citizen Initiative (Social internship),01
