,S. No.,Semester 6,Course  code,Credit  hours,Pre- requisite,Course type
0,1,Applied Econometrics II,ECO344,4,ECO343,Economics core
1,2,Research Methods for Economics,ECO411,3,ECO343,Economics core
2,3,Major Issues in Pakistan Economy,ECO403,3,ECO203,Economics core
3,4,International Trade,ECO466,3,ECO103,Economics core
4,5,Economics Elective II,ECO,3,-,Economics elective
5,6,Personal Effectiveness,SSC240,-,-,credit  mandatory
