,,Course category,Course,Credit  hours,Total
0,1,CS electives,8,3,24
1,2,MS Thesis-I,Equivalent to  1 course,3,3
2,3,MS Thesis-Il,Equivalent to  1 course,3,3
3,,Total,10,-,30
