,S. No.,Semester 5,Course  code,Credit  hours,Pre- requisite,Course type
0,1,Applied Econometrics I,ECO343,4,MTS202,Economics core
1,2,Data Analytics for  Economists,ECO304,3,"MTS111,  MTS202",Economics core
2,3,Microeconomic Theory,ECO312,3,ECO201,Economics core
3,4,Macroeconomic Theory,ECO313,3,ECO202,Economics core
4,5,Economics Elective I,ECO,-,-,Economics elective
