,S. No.,Semester 4,Course  code,Credit  hours,Pre- requisite,Course type
0,1,Intermediate Macroeconomics,ECO202,3,ECO103,Economics Core
1,2,Linear Algebra,MTS203,3,MTS101,Mathematics Core
2,3,Probability Theory,MTS231,3,MTS102,Mathematics Core
3,4,Essential Software,MTS111,3,-,Interdisciplinary/  Allied
4,5,"Physics/Mechanics/Electricity,  Magnetism, Waves",SCI201/  PHYXXX/  PHY102,3,-,General Education
5,6,Intro to Philosophy,SSC102,2,-,General Education
