,0,1
0,Time to completion,4 years
1,Semesters,8
2,Core courses,30 (84 Credit hours)
3,Elective courses,13 (39 Credit hours)
4,Experiential Learning Project (ELP),1 (6 Credit hours)
5,Corporate Internship (6-8 weeks),1 (3 Credit hours)
6,Total courses,43+ELP+Internship
7,Total Credit Hours,132
8,Responsible Citizen Initiative (RCI),1
9,Personal effectiveness program (Non-Credit),10 hours
