,,Semester - 6,Course code,Credit hours,Pre-requisite,Course  type
0,1,Marketing Issues in Pakistan,MKT401,3,MKT201,Business
1,2,Business Elective 3,-,3,-,Business
2,3,Business Elective 4,-,3,-,Business
3,4,Managerial Policy,MGT430,3,"MKT201,   ACC201,",Business
4,5,Business Elective 5,-,3,-,Business
