,,Course code,Course title
0,1,ICT511,Advanced Computer Networks
1,2,CSE550,Cloud Security
2,3,ICT651,Computer Comm Network & Simulation
3,4,CSE582,Cyber Security Operations
4,5,CSE580,Essentials of Information Security
5,6,CSE565,Internet of Things
6,7,CSE675,Software Defined Networking
7,8,ICT659,Wireless Sensor Networks
8,9,ICT662,WSN Protocols and Applications
